username,date,time,text,tweetID,placeID,pusatkota,lokasi,longitude,"latitude					"
@ReginaKuper ,7/17/2015,15:32,Hujan debu gunung raung udah 3hari makin deras di jember ni.. #gunungraung #gunungmeletus https://instagram.com/p/5OwyGVpEL1/ ',6.22E+17,0014f2373e406f25,Sumber Baru,"Sumber Baru	 Indonesia",113.4272618,-8.090496
@agussutresna ,7/24/2015,5:35,#kebakaranhutan#kebakarankota#kebakaranlaut#kebakaranudara#sengadetamusepibesuudliburansengmaantipstam https://instagram.com/p/5fuEjYNtEL/ ',6.24E+17,6ab2f5132f36eb85,Kuta,"Kuta, Indonesia",115.1779401,-8.725478
@kaltengbar ,7/25/2015,19:59,"'Kemarau : bkn cm #KabutAsap	 S. Kahayan mendangkal & kafe terapung kandas. Klik KaltengPos http://ow.ly/Q4rWf '""",6.25E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@kaltengbar ,7/25/2015,6:18,"'Kemarau juga mengakibatkan beragam penyakit	 selain #KabutAsap Simak KaltengPos disini http://ow.ly/Q3M8z '""",6.25E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@AcePanamSquare ,7/25/2015,11:44,Lindungi kesehatan keluarga dari #kabutasap dengan Coway air purifier @ Ace Hardware #riaupromo',6.25E+17,b2927bfe01505f46,Rumbai,"Rumbai	 Indonesia",101.397918,"0.6318156500000001			"
@AcePanamSquare ,7/27/2015,7:56,Kabut asap pagi ini yg terpantau di Jl. Soekarno Hatta Hotel Swiss Bell sdh tak nampak @infoPKU  #kabutasap #riauinfo',6.25E+17,32eb831712cde417,Tampan,"Tampan	 Indonesia",101.3712635,"0.474831			"
@kaltengbar ,7/28/2015,6:51,#KabutAsap di Pontianak mengkhawatirkan @Zuniarti @jwaluyo @borneoclimate',6.26E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472			"
@SBencana ,7/28/2015,16:57,antisipasi #banjir Kali Krukut #jkt selatan dikeruk @disasterchannel @BPBDJakarta @RadioElshinta @BeritaJakarta',6.26E+17,31e4594e7a7e7e89,Pasar Rebo,"Pasar Rebo	 Indonesia",106.8616602,"-6.3283165				"
@SBencana ,7/28/2015,16:53,Antisipasi #banjir wilayah jkt sel keruk kali krukut #jkt @petajkt @BPBDJakarta @RadioElshinta @BeritaJakarta',6.26E+17,31e4594e7a7e7e89,Pasar Rebo,"Pasar Rebo	 Indonesia",106.8616602,"-6.3283165				"
@kaltengbar ,7/28/2015,6:53,"'Slmt pg! Sejam lalu di Bundaran Kecil sdh mulai mencium bau tipis #Kabutasap Gunakan maskermu	 Tweeps! @infoPLK'""",6.26E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472		"
@AcePanamSquare ,7/30/2015,8:02,Lindungi kesehatan keluarga dari ISPA #kabutasap dengan Coway air purifier @ Ace Hardware #riaupromo',6.27E+17,b2927bfe01505f46,Rumbai,"Rumbai	 Indonesia",101.397918,"0.6318156500000001			"
@Abraham_M20 ,7/31/2015,9:27,"'Emergency Pekanbaru Area. #SuaraRakyat #KabutAsap #Riau @ Jl.Air Hitam 	 Akap Pku https://instagram.com/p/5yKJiTnNsd/ '""",6.27E+17,32eb831712cde417,Tampan,"Tampan	 Indonesia",101.3712635,0.474831
@kaltengbar ,7/31/2015,6:47,Siaga #KabutAsap dari Sampit. Selengkapnya di ANTARA Kalteng http://ow.ly/QiZtW   @HutanKalteng',6.27E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472			"
@kaltengbar ,7/31/2015,16:54,Sore ini Kota Palangkaraya diguyur hujan lagi. Hujan yg bagus buat usir #KabutAsap @infoPLK',6.27E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@kaltengbar ,8/2/2015,6:54,Kabar baik biar #KabutAsap pergi @Zuniarti @jwaluyo ',6.28E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@abdulhamid7891 ,8/3/2015,14:19,@Marcello_ponco mereka mah biasa bro. Nih tanya gubernurnya @bedheryan #kabutasap',6.28E+17,a719122ae63d684b,Sekupang,"Sekupang	 Indonesia",103.9712468,"1.08737775	"
@kaltengbar ,8/3/2015,4:53,"'Tanpa apel siaga	 kebakaran hutan #KabutAsap. hrs ttp diwaspadai. Selengkapnya BorneoNews  http://ow.ly/QoEns '""",6.28E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,-1.384472
@kaltengbar ,8/3/2015,4:58,Waspadai #KabutAsap di bulan Agustus. Selengkapnya KaltengPos http://ow.ly/QoEIZ  @HutanKalteng @borneoclimate',6.28E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@kaltengbar ,8/5/2015,7:46,"'Palangkaraya cerah saat melintas di simpang Yos Sudarso-Galaksi Raya	 2 jam lalu dgn bau tipis #KabutAsap @infoPLK'""",6.29E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,-1.384472
@kaltengbar ,8/8/2015,9:34,"'#KabutAsap mulai meraja lela. Gunakan maskermu	 Tweeps! @borneoclimate'""",6.30E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,-1.384472
@SeringanAwan ,8/10/2015,8:29,#KabutAsap yg disekitar jalan menuju Bandara Tjilik Riwut itu berasal dr sini @infoPLK @borneoclimate @megandikka',6.31E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@SeringanAwan ,8/10/2015,8:11,Jalan ke Bandara Tjilik Riwut pagi ini semerbak #KabutAsap Ayo gunakan maskermu! @infoPLK @borneoclimate @kaltengbar',6.31E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
@AcePanamSquare ,8/12/2015,8:33,Dapatkan aneka masker utk melindungi anda dari ISPA krn #kabutasap di ACE Hardware terdekat #riaupromo',6.31E+17,b2927bfe01505f46,Rumbai,"Rumbai	 Indonesia",101.397918,"0.6318156500000001	"
@SeringanAwan ,8/13/2015,11:20,Kota Kasongan tiba2 hujan saat Kalteng lainnya dilanda #KabutAsap @borneoclimate @kaltengbar @megandikka',6.32E+17,413c7bba7bac61a4,Kalimantan Tengah,"Kalimantan Tengah	 Indonesia",113.4398713,"-1.384472	"
