zipcode,centile,superzip,rank,city,state,adultpop,households,college,income,zip_code,latitude,longitude,city,state,county
60523,99.37699,1,103,Oak Brook,IL,7761,2741,54.59%,202.6061,830,18.32816,-64.740737,St John,VI,Saint John
77046,99.37475,1,,Houston,TX,423,121,74.23%,168.7549,831,18.32816,-64.740737,St John,VI,Saint John
6878,99.37325,1,104,Riverside,CT,5044,2087,65.07%,184.1755,840,17.734211,-64.734694,Frederiksted,VI,Saint Croix
94708,99.36956,1,105,Berkeley,CA,8386,2910,81.58%,155.6894,841,17.734211,-64.734694,Frederiksted,VI,Saint Croix
66221,99.36631,1,106,Overland Park,KS,3446,1678,72.66%,171.0249,850,17.734211,-64.734694,Kingshill,VI,Saint Croix
10005,99.36517,1,107,New York,NY,703,119,74.68%,167.2303,851,17.734211,-64.734694,Kingshill,VI,Saint Croix
78746,99.36043,1,108,Austin,TX,16567,6922,75.54%,165.7291,901,18.465901,-66.103568,San Juan,PR,San Juan
10580,99.35277,1,109,Rye,NY,11312,4488,68.06%,178.2036,902,18.410462,-66.060533,San Juan,PR,San Juan
1776,99.3467,1,110,Sudbury,MA,10824,4836,71.89%,170.5097,906,18.410462,-66.060533,San Juan,PR,San Juan
48302,99.34042,1,111,Bloomfield Hills,MI,12025,4926,65.59%,180.6946,907,18.451647,-66.077003,San Juan,PR,San Juan
30305,99.33241,1,112,Atlanta,GA,17148,4424,69.33%,173.9775,908,18.410462,-66.060533,San Juan,PR,San Juan
2482,99.3258,1,113,Wellesley,MA,6955,2688,71.04%,170.9661,909,18.443384,-66.068133,San Juan,PR,San Juan
11724,99.32334,1,114,Cold Spring Harbor,NY,1994,859,66.15%,179.0039,910,18.410462,-66.060533,San Juan,PR,San Juan
77094,99.32156,1,115,Houston,TX,4507,2179,73.97%,164.4372,911,18.450828,-66.057859,San Juan,PR,San Juan
7842,99.32031,1,,Hibernia,NJ,47,24,68.09%,174.3789,912,18.444187,-66.059859,San Juan,PR,San Juan
94707,99.31781,1,116,Berkeley,CA,9059,3332,79.98%,153.7973,913,18.450735,-66.043352,San Juan,PR,San Juan
2110,99.31499,1,117,Boston,MA,1246,309,76.73%,159.1598,914,18.410462,-66.060533,San Juan,PR,San Juan
20896,99.31451,1,,Garrett Park,MD,429,178,77.62%,156.0267,915,18.437896,-66.048087,San Juan,PR,San Juan
19009,99.3144,1,,Bryn Athyn,PA,51,20,82.35%,147.105,916,18.410462,-66.060533,San Juan,PR,San Juan
91108,99.31192,1,118,San Marino,CA,8927,3789,70.25%,167.7952,917,18.422018,-66.050602,San Juan,PR,San Juan
19807,99.30789,1,119,Wilmington,DE,5755,2164,65.40%,176.0853,918,18.419069,-66.062319,San Juan,PR,San Juan
10023,99.29218,1,120,New York,NY,51494,11604,73.32%,162.0156,919,18.410462,-66.060533,San Juan,PR,San Juan
20036,99.27712,1,121,Washington,DC,3352,374,83.74%,143.8242,920,18.406808,-66.091885,San Juan,PR,San Juan
1451,99.2753,1,122,Harvard,MA,3313,1457,75.85%,157.0009,921,18.390429,-66.066124,San Juan,PR,San Juan
7920,99.26969,1,123,Basking Ridge,NJ,17129,6477,66.86%,172.1037,922,18.410462,-66.060533,San Juan,PR,San Juan
60611,99.25861,1,124,Chicago,IL,23272,5584,73.46%,160.4883,923,18.410775,-66.036708,San Juan,PR,San Juan
2459,99.24898,1,125,Newton Center,MA,11790,4518,73.54%,160.147,924,18.396392,-66.01146,San Juan,PR,San Juan
19066,99.24465,1,126,Merion Station,PA,3951,1526,76.69%,154.3151,925,18.401055,-66.049773,San Juan,PR,San Juan
60091,99.2386,1,127,Wilmette,IL,18124,7640,72.89%,160.5654,926,18.369376,-66.062804,San Juan,PR,San Juan
66211,99.23294,1,128,Leawood,KS,2465,971,66.65%,170.9177,927,18.385174,-66.071959,San Juan,PR,San Juan
48301,99.22941,1,129,Bloomfield Hills,MI,10413,4460,68.29%,167.7311,928,18.410462,-66.060533,San Juan,PR,San Juan
77024,99.22011,1,130,Houston,TX,23477,9133,68.02%,167.6866,929,18.410462,-66.060533,San Juan,PR,San Juan
60606,99.21332,1,131,Chicago,IL,1273,350,80.60%,145.9438,930,18.410462,-66.060533,San Juan,PR,San Juan
63131,99.20985,1,132,Saint Louis,MO,11381,4971,67.85%,167.5166,931,18.410462,-66.060533,San Juan,PR,San Juan
90274,99.20181,1,133,Palos Verdes Peninsula,CA,17933,7617,66.21%,170.2979,933,18.410462,-66.060533,San Juan,PR,San Juan
19041,99.19572,1,134,Haverford,PA,4241,1422,73.17%,158.2798,934,18.34487,-66.166014,Fort Buchanan,PR,Bayamon
6903,99.1918,1,135,Stamford,CT,10066,4222,68.32%,166.3712,935,18.410462,-66.060533,San Juan,PR,San Juan
19421,99.18901,1,,Birchrunville,PA,62,33,75.81%,153.4351,936,18.410462,-66.060533,San Juan,PR,San Juan
6831,99.18604,1,136,Greenwich,CT,10758,4109,56.83%,185.2621,937,18.410462,-66.060533,San Juan,PR,San Juan
22181,99.18039,1,137,Vienna,VA,9842,4085,68.49%,165.1355,938,18.410462,-66.060533,San Juan,PR,San Juan
35223,99.17561,1,138,Birmingham,AL,7558,3249,74.48%,154.6564,939,18.410462,-66.060533,San Juan,PR,San Juan
6490,99.17271,1,139,Southport,CT,3002,1164,61.73%,176.5561,940,18.410462,-66.060533,San Juan,PR,San Juan
94705,99.16934,1,140,Berkeley,CA,9252,2626,76.35%,151.1991,949,18.431911,-66.199692,Toa Baja,PR,Toa Baja
11797,99.16505,1,141,Woodbury,NY,6411,2317,58.01%,182.5436,950,18.457761,-66.196503,Toa Baja,PR,Toa Baja
7458,99.16124,1,142,Saddle River,NJ,7482,3207,60.10%,178.9268,951,18.457761,-66.196503,Toa Baja,PR,Toa Baja
20004,99.15899,1,143,Washington,DC,674,118,68.99%,163.45,952,18.457761,-66.196503,Sabana Seca,PR,Toa Baja
92625,99.15588,1,144,Corona del Mar,CA,10728,3493,64.71%,170.4104,953,18.356795,-66.25701,Toa Alta,PR,Toa Alta
11020,99.15217,1,145,Great Neck,NY,2773,1178,67.22%,166.0482,954,18.358939,-66.258108,Toa Alta,PR,Toa Alta
20194,99.14893,1,146,Reston,VA,9042,3437,75.03%,152.3524,955,18.410462,-66.060533,San Juan,PR,San Juan
22957,99.14643,1,,Montpelier Station,VA,28,14,57.14%,183.064,956,18.326702,-66.174176,Bayamon,PR,Bayamon
35649,99.14642,1,,Mooresville,AL,46,17,60.87%,176.6306,957,18.366645,-66.183907,Bayamon,PR,Bayamon
6877,99.14211,1,147,Ridgefield,CT,15682,6638,65.88%,167.1361,958,18.34487,-66.166014,Bayamon,PR,Bayamon
7928,99.13438,1,148,Chatham,NJ,12420,5073,66.88%,165.3892,959,18.387058,-66.159044,Bayamon,PR,Bayamon
10526,99.13068,1,149,Goldens Bridge,NY,1094,455,70.02%,159.4004,960,18.34487,-66.166014,Bayamon,PR,Bayamon
